故障项,故障模组,故障描述,处置方案,问题来源
智算机载荷,CPLD,电压异常,下电,在轨运行
智算机载荷,CPLD,电流异常,下电,在轨运行
智算机载荷,CPLD,IIC巡检异常,下电，上电,在轨运行
智算机载荷,CPLD,光模块电压/温度异常,下电,在轨运行
智算机载荷,CPLD,PL加载异常,下电，上电,在轨运行
智算机载荷,CPLD,PL看门狗溢出,下电，上电,在轨运行
智算机载荷,CPLD,PCIE接口异常,无法处理,在轨运行
智算机载荷,CPLD,DDR初始化失败,无法处理,在轨运行
智算机载荷,FPGA板卡,CAN接口故障,"1.下电、上电
2.切换备用CAN口",在轨运行
智算机载荷,FPGA板卡,千兆以太网故障,"1.下电、上电
2.切换备用路由器",在轨运行
智算机载荷,FPGA板卡,RS422接口故障,下电、上电,在轨运行
智算机载荷,FPGA板卡,AD接口故障,下电、上电,在轨运行
智算机载荷,FPGA板卡,温度异常,下电、上电,在轨运行
智算机载荷,FPGA板卡,电压异常,下电、上电,在轨运行
智算机载荷,FPGA板卡,电流异常,下电、上电,在轨运行
智算机载荷,FPGA板卡,PL加载异常,"1.下电、上电
2.重写PL",在轨运行
智算机载荷,FPGA板卡,PL看门狗溢出,"1.下电、上电
2.重写PL",在轨运行
智算机载荷,FPGA板卡,PCIE接口异常,下电、上电,在轨运行
智算机载荷,FPGA板卡,DDR初始化失败,下电、上电,在轨运行
智算机载荷,FPGA板卡,PS bootloader进不去,下电、上电,在轨运行
智算机载荷,FPGA板卡,PS os进不去,"1.下电，上电
2.切换启动介质
3.恢复先前异常介质",在轨运行
智算机载荷,FPGA板卡,数传通信接口异常,重启数传进程或重新上下电,在轨运行
智算机载荷,FPGA板卡,遥控遥测软件运行异常,重新上下电,在轨运行
智算机载荷,FPGA板卡,被监控程序挂掉,系统监控软件重新拉起对应进程、超过重试阈值后从备份路径恢复程序副本,在轨运行
智算机载荷,FPGA板卡,系统监控软件master挂掉,系统监控软件slave拉起系统监控软件master,在轨运行
